系組代碼,校名,系組名,學群,學類,普通生錄取分數,學測_國文,學測_英文,分科_數甲,學測_數學A,學測_數學B,學測_自然,學測_社會,分科_地理,分科_歷史,分科_公民,分科_物理,分科_化學,分科_生物,同分參酌1_科目,同分參酌1_分數,同分參酌2_科目,同分參酌2_分數,同分參酌3_科目,同分參酌3_分數,,1,大學,科系
1007,淡江大學,公共行政學系,管理學群,行政管理學類,123.5,1.5,,,,,,,,1,1,,,,國,37,,,,,,,淡江大學,公共行政學系
1010,淡江大學,管理科學學系,管理學群,企業管理學類,106,2,1,,,1,,,,,1,,,,,,,,,,,,,
1011,淡江大學,外交與國際關係學系全英語學士班,法政學群,政治學類,81.5,1,1.5,,,,,,,1,,,,,,,,,,,,,,
1012,淡江大學,國際觀光管理學系全英語學士班,遊憩與運動學群,觀光事業學類,64.75,1,1.25,,,,,,1,,,,,,,,,,,,,,,
1013,淡江大學,全球政治經濟學系全英語學士班,法政學群,政治學類,74,1,2,,,,,,,,1,,,,,,,,,,,,,
1014,淡江大學,理學院尖端材料科學學士學位學程,數理化學群,化學學類,107,,,,1,,,,,,,2,2,,,,,,,,,,,
1015,淡江大學,數學學系數學組,數理化學群,數學學類,90,1,1,2,,,,,,,,,,,數甲,20,,,,,,,,
1016,淡江大學,數學學系資料科學與數理統計組,數理化學群,數學學類,87,1,1,2,,,,,,,,,,,,,,,,,,,,
1017,淡江大學,化學學系化學與生物化學組,數理化學群,化學學類,82.75,,1,,1,,,,,,,,1.25,,,,,,,,,,,
1020,淡江大學,化學學系材料化學組,數理化學群,化學學類,84.75,,1,,1,,,,,,,,1.25,,,,,,,,,,,
1021,淡江大學,物理學系光電物理組,數理化學群,物理學類,92,,1,,1,,,,,,,2,,,物,27,,,,,,,,
1022,淡江大學,物理學系應用物理組,數理化學群,物理學類,89,,1,,1,,,,,,,2,,,物,25,數A,19,9,,,,,
1023,淡江大學,建築學系,工程學群,建築學類,153.75,2,1.5,1.25,,,,,,,,,,,,,,,,,,,淡江大學,建築學系
1024,淡江大學,土木工程學系,工程學群,土木工程學類,122,2,,1,,,,,,,,1.5,,,,,,,,,,,,
1025,淡江大學,資訊工程學系,資訊學群,資訊工程學類,162,2,1,2,,,,,,,,,,,,,,,,,,,,
1026,淡江大學,資訊工程學系全英語學士班,資訊學群,資訊工程學類,58,,2,,,2,,,,1,,,,,,,,,,,,,,
1027,淡江大學,機械與機電工程學系光機電整合組,工程學群,機械工程學類,129,2,1,,,,,,,,,1,,,物,25,,,,,,,,
1030,淡江大學,機械與機電工程學系精密機械組,工程學群,機械工程學類,128,2,1,,,,,,,,,1,,,物,23,,,,,,,,
1031,淡江大學,人工智慧學系,資訊學群,資訊工程學類,94,1,1,,,,,,,,,1,,,,,,,,,,,,
1032,淡江大學,電機工程學系電機資訊組,工程學群,電機工程學類,126.5,1,1,,,,,,,,,1.5,,,物,35,,,,,,,,
1033,淡江大學,電機工程學系電機通訊組,工程學群,電機工程學類,116,1,1,,,,,,,,,1.5,,,,,,,,,,,,
1034,淡江大學,電機工程學系電機與系統組,工程學群,電機工程學類,120.5,1,1,,,,,,,,,1.5,,,,,,,,,,,,
1035,淡江大學,化學工程與材料工程學系,工程學群,化學工程學類,94.5,1,,1,,,,,,,,,1.5,,,,,,,,,,,
1036,淡江大學,航空太空工程學系,工程學群,航空工程學類,69,,1,1,,,,,,,,1,,,物,33,,,,,,,淡江大學,航空太空工程學系
1037,淡江大學,水資源及環境工程學系水資源工程組,工程學群,水利／海洋工程學類,110,2,1,1,,,,,,,,,,,數甲,15,,,,,,,淡江大學,水資源及環境工程學系
1040,淡江大學,水資源及環境工程學系環境工程組,工程學群,水利／海洋工程學類,112,2,1,1,,,,,,,,,,,,,,,,,,,淡江大學,水資源及環境工程學系
1041,逢甲大學,機械與電腦輔助工程學系,工程學群,機械工程學類,185.5,2,1,1.5,,,,,,,,1.5,,,,,,,,,,,,
1042,逢甲大學,纖維與複合材料學系,工程學群,材料工程學類,203,2,1,,2,,,,,,,,2,,,,,,,,,,,
1043,逢甲大學,工業工程與系統管理學系A組,管理學群,工業工程與管理學類,161,2,2,1,,,,,,,,,,,國,43,,,,,,,逢甲大學,工業工程與系統管理學系
1044,逢甲大學,工業工程與系統管理學系B組,管理學群,工業工程與管理學類,185,2,2,,,1,,,1,,,,,,,,,,,,,,逢甲大學,工業工程與系統管理學系
1045,逢甲大學,化學工程學系,工程學群,化學工程學類,233,2,1,2,,,,,,,,1,2,,化,26,,,,,,,,
1046,逢甲大學,航太與系統工程學系,工程學群,航空工程學類,219.25,2,1,,1.5,,,,,,,1.75,,,,,,,,,,,逢甲大學,航太與系統工程學系
1047,逢甲大學,精密系統設計學士學位學程,工程學群,機械工程學類,172.5,2,1,2,,,,,,,,1.5,,,,,,,,,,,,
1050,逢甲大學,應用數學系A組,數理化學群,數學學類,144.25,1.75,1.75,2,,,,,,,,,,,,,,,,,,,,
1051,逢甲大學,應用數學系B組,數理化學群,數學學類,155.25,1.75,1.25,,,2,,,,,1,,,,,,,,,,,,,
1052,逢甲大學,材料科學與工程學系,工程學群,材料工程學類,224.5,1,2,1,,,,,,,,1.5,2,,,,,,,,,,,
1053,逢甲大學,環境工程與科學學系,工程學群,環境工程學類,178.25,2,1,1.75,,,,,,,,,2,,,,,,,,,,逢甲大學,環境工程與科學學系
1053,逢甲大學,環境工程與科學學系,地球與環境學群,環境工程學類,178.25,2,1,1.75,,,,,,,,,2,,,,,,,,,,逢甲大學,環境工程與科學學系
1054,逢甲大學,光電科學與工程學系,工程學群,光電學類,152,2,1.5,1.5,,,,,,,,,,,數甲,24,,,,,,,逢甲大學,光電科學與工程學系(原光電學系)
1055,逢甲大學,會計學系,財經學群,會計學類,193.25,1.5,1.5,,,1.25,,,1,1,,,,,,,,,,,,,,
1056,逢甲大學,國際經營與貿易學系,財經學群,國際企業學類,118.25,1,1.25,,,1,,,1,,,,,,,,,,,,,,,
1057,逢甲大學,國際企業管理全英語學士學位學程,財經學群,國際企業學類,158,1.5,2,,,1.5,,,1,,,,,,英,26,,,,,,,,
1060,逢甲大學,財稅學系,財經學群,財稅學類,206.5,1.25,1.5,,,1.5,,,1,1,,,,,,,,,,,,,逢甲大學,財稅學系
1061,逢甲大學,合作經濟暨社會事業經營學系,管理學群,企業管理學類,146.5,1.5,2,,,1,,,,1,,,,,,,,,,,,,,
1062,逢甲大學,統計學系商業大數據組,數理化學群,統計學類,141.5,1,1.5,,,2,,,1,,,,,,,,,,,,,,逢甲大學,統計學系
1062,逢甲大學,統計學系商業大數據組,財經學群,統計學類,141.5,1,1.5,,,2,,,1,,,,,,,,,,,,,,逢甲大學,統計學系
1063,逢甲大學,統計學系大數據分析與市場決策組,數理化學群,統計學類,103,,1.5,,,2,,,1,,,,,,,,,,,,,,逢甲大學,統計學系
1063,逢甲大學,統計學系大數據分析與市場決策組,財經學群,統計學類,103,,1.5,,,2,,,1,,,,,,,,,,,,,,逢甲大學,統計學系
1064,逢甲大學,經濟學系,財經學群,經濟學類,162.5,1,1.5,,,1.5,,,,,1.5,,,,,,,,,,,,,
1065,逢甲大學,企業管理學系,管理學群,企業管理學類,221,2,2,,,1.75,,,1,1,,,,,,,,,,,,,,
1066,逢甲大學,行銷學系,管理學群,行銷經營學類,207,2,2,,,1.75,,,,1,,,,,,,,,,,,,逢甲大學,行銷學系
1067,逢甲大學,中國文學系,文史哲學群,中國語文學類,148.75,2,1.25,,,,,,,2,,,,,,,,,,,,,,
1070,逢甲大學,外國語文學系,外語學群,英語文學類,97,1.75,2,,,,,,,1.5,,,,,,,,,,,,,,
1071,逢甲大學,資訊工程學系,資訊學群,資訊工程學類,140,1,1.5,1.5,,,,,,,,,,,,,,,,,,,,
1072,逢甲大學,電子工程學系,工程學群,電子工程學類,125,1,1,1.75,,,,,,,,,,,數甲,28,,,,,,,,
1073,逢甲大學,電機工程學系,工程學群,電機工程學類,183,1.5,1,1.25,,,,,,,,1.25,,,數甲,32,,,,,,,,
1074,逢甲大學,自動控制工程學系,工程學群,電機工程學類,164,1.5,1,1.5,,,,,,,,1.5,,,數甲,17,,,,,,,,
1075,逢甲大學,資訊電機學院學士班,資訊學群,資訊工程學類,184,1.5,1,1.5,,,,,,,,1.5,,,,,,,,,,,,
1076,逢甲大學,通訊工程學系,工程學群,通訊工程學類,164.25,1.75,1.5,2,,,,,,,,,,,數甲,29,,,,,,,逢甲大學,通訊工程學系
1077,逢甲大學,土木工程學系,工程學群,土木工程學類,175.5,2,1,1.5,,,,,,,,2,,,國,43,,,,,,,,
1100,逢甲大學,水利工程與資源保育學系,工程學群,水利／海洋工程學類,139,2,2,1,,,,,,,,,,,數甲,17,,,,,,,逢甲大學,水利工程與資源保育學系
1101,逢甲大學,都市計畫與空間資訊學系,建築與設計學群,都市計畫學類,199,2,1,,,1,,,2,,,,,,,,,,,,,,逢甲大學,都市計畫與空間資訊學系
1102,逢甲大學,運輸與物流學系,工程學群,運輸物流管理學類,198.25,2,2,,,1.75,,,,,1,,,,,,,,,,,,逢甲大學,運輸與物流學系(原運輸科技與管理學系)
1102,逢甲大學,運輸與物流學系,管理學群,運輸物流管理學類,198.25,2,2,,,1.75,,,,,1,,,,,,,,,,,,逢甲大學,運輸與物流學系(原運輸科技與管理學系)
1103,逢甲大學,土地管理學系,法政學群,地政與土地資產管理學類,216.5,1.5,1,,,1,,,1.5,1,,,,,,,,,,,,,逢甲大學,土地管理學系
1103,逢甲大學,土地管理學系,管理學群,地政與土地資產管理學類,216.5,1.5,1,,,1,,,1.5,1,,,,,,,,,,,,,逢甲大學,土地管理學系
1104,逢甲大學,財務金融學系,財經學群,財務金融學類,148,1,1.5,,,1,,,,,1,,,,,,,,,,,,,
1105,逢甲大學,風險管理與保險學系,財經學群,保險學類,152.5,2,1,,,1,,,1.5,,,,,,,,,,,,,,逢甲大學,風險管理與保險學系
1106,逢甲大學,財務工程與精算學士學位學程,財經學群,財務金融學類,115.5,1.25,1,,,1.25,,,1,,,,,,,,,,,,,,,
1107,逢甲大學,建築專業學院學士班,建築與設計學群,建築學類,228,2,2,,1.75,,,,,,,1,,,,,,,,,,,,
1110,逢甲大學,人工智慧技術與應用學士學位學程,資訊學群,資訊工程學類,112.5,1,1.25,1.5,,,,,,,,,,,,,,,,,,,,
1111,國立中央大學,中國文學系,文史哲學群,中國語文學類,279.5,2,1.5,,,,,,1,1.5,,,,,,,,,,,,,國立中央大學,中國文學系
1112,國立中央大學,英美語文學系,外語學群,英語文學類,275.5,1.5,2,,,,,,1,1.25,,,,,,,,,,,,,國立中央大學,英美語文學系
1113,國立中央大學,法國語文學系,外語學群,歐語文學類,318,1.5,2,,,,,,1,1.25,1,,,,,,,,,,,,國立中央大學,法國語文學系
1114,國立中央大學,文學院學士班,文史哲學群,中國語文學類,239,1,1,,,1,,,,1.25,1.25,,,,英,38,歷,55,5,,,,國立中央大學,文學院學士班
1114,國立中央大學,文學院學士班,文史哲學群,歷史學類,239,1,1,,,1,,,,1.25,1.25,,,,英,38,歷,55,5,,,,國立中央大學,文學院學士班
1114,國立中央大學,文學院學士班,文史哲學群,哲學學類,239,1,1,,,1,,,,1.25,1.25,,,,英,38,歷,55,5,,,,國立中央大學,文學院學士班
1115,國立中央大學,數學系計算與資料科學組,數理化學群,數學學類,239.25,1,1.25,1.5,,,,,,,,1.25,1,,,,,,,,,,國立中央大學,數學系
1116,國立中央大學,數學系數學科學組,數理化學群,數學學類,235,1,1.25,1.5,,,,,,,,1.25,1,,,,,,,,,,國立中央大學,數學系
1117,國立中央大學,物理學系,數理化學群,物理學類,215,1,1,1.5,,,,,,,,1.5,,,,,,,,,,,國立中央大學,物理學系
1120,國立中央大學,化學學系,數理化學群,化學學類,217,1,1,1,,,,,,,,1,1,,化,45,,,,,,,國立中央大學,化學學系
1121,國立中央大學,光電科學與工程學系,工程學群,光電學類,221,1,1,1,,,,,,,,1,1,,,,,,,,,,國立中央大學,光電科學與工程學系
1122,國立中央大學,理學院學士班,工程學群,光電學類,279.5,1,1,1.5,,,,,,,,1.5,1.5,,數甲,46,,,,,,,國立中央大學,理學院學士班
1122,國立中央大學,理學院學士班,數理化學群,數學學類,279.5,1,1,1.5,,,,,,,,1.5,1.5,,數甲,46,,,,,,,國立中央大學,理學院學士班
1122,國立中央大學,理學院學士班,數理化學群,化學學類,279.5,1,1,1.5,,,,,,,,1.5,1.5,,數甲,46,,,,,,,國立中央大學,理學院學士班
1122,國立中央大學,理學院學士班,數理化學群,物理學類,279.5,1,1,1.5,,,,,,,,1.5,1.5,,數甲,46,,,,,,,國立中央大學,理學院學士班
1123,國立中央大學,土木工程學系,工程學群,土木工程學類,277,1,1.5,1.5,,,,,,,,2,1,,數甲,32,,,,,,,國立中央大學,土木工程學系
1124,國立中央大學,機械工程學系先進材料與精密製造組,工程學群,機械工程學類,316.5,1,1.5,2,,,,,,,,2,1,,物,48,,,,,,,國立中央大學,機械工程學系
1125,國立中央大學,機械工程學系光機電工程組,工程學群,機械工程學類,316.5,1,1.5,2,,,,,,,,2,1,,物,56,,,,,,,國立中央大學,機械工程學系
1126,國立中央大學,機械工程學系設計與分析組,工程學群,機械工程學類,314,1,1.5,2,,,,,,,,2,1,,,,,,,,,,國立中央大學,機械工程學系
1127,國立中央大學,化學工程與材料工程學系,工程學群,化學工程學類,221,1,1,1,,,,,,,,1,1,,數甲,37,英,53,3,,,,國立中央大學,化學工程與材料工程學系
1130,國立中央大學,工學院學士班,工程學群,工業工程與管理學類,170,,1,1,,,,,,,,1,1,,,,,,,,,,國立中央大學,工學院學士班
1131,國立中央大學,企業管理學系,管理學群,企業管理學類,288.5,1.5,2,,,2,,,,,1,,,,英,42,,,,,,,國立中央大學,企業管理學系
1132,國立中央大學,資訊管理學系,資訊學群,資訊管理學類,242.5,1.5,2,2,,,,,,,,,,,,,,,,,,,國立中央大學,資訊管理學系
1132,國立中央大學,資訊管理學系,管理學群,資訊管理學類,242.5,1.5,2,2,,,,,,,,,,,,,,,,,,,國立中央大學,資訊管理學系
1133,國立中央大學,經濟學系,財經學群,經濟學類,286.5,1.25,2,,,2,,,,,1,,,,數B,51,,,,,,,國立中央大學,經濟學系
1134,國立中央大學,財務金融學系,財經學群,財務金融學類,242,1,1.5,,,1.5,,,,,1,,,,,,,,,,,,國立中央大學,財務金融學系
1135,國立中央大學,電機工程學系,工程學群,電機工程學類,191,,1,1,,,,,,,,1,1,,數甲,41,,,,,,,國立中央大學,電機工程學系
1135,國立中央大學,電機工程學系,工程學群,電子工程學類,191,,1,1,,,,,,,,1,1,,數甲,41,,,,,,,國立中央大學,電機工程學系
1135,國立中央大學,電機工程學系,工程學群,機械工程學類,191,,1,1,,,,,,,,1,1,,數甲,41,,,,,,,國立中央大學,電機工程學系
1136,國立中央大學,資訊工程學系,資訊學群,資訊工程學類,184,,1,1,,,,,,,,1,1,,數甲,43,,,,,,,國立中央大學,資訊工程學系
1136,國立中央大學,資訊工程學系,工程學群,電機工程學類,184,,1,1,,,,,,,,1,1,,數甲,43,,,,,,,國立中央大學,資訊工程學系
1136,國立中央大學,資訊工程學系,工程學群,電子工程學類,184,,1,1,,,,,,,,1,1,,數甲,43,,,,,,,國立中央大學,資訊工程學系
1137,國立中央大學,通訊工程學系,工程學群,通訊工程學類,218,,1,1.5,,,,,,,,1.5,1,,,,,,,,,,國立中央大學,通訊工程學系
1140,國立中央大學,資訊電機學院學士班,資訊學群,資訊工程學類,187,,1,1,,,,,,,,1,1,,數甲,43,,,,,,,國立中央大學,資訊電機學院學士班
1141,國立中央大學,大氣科學學系,地球與環境學群,大氣科學學類,273,1,1,2,,,,,,,,2,1,,物,44,,,,,,,國立中央大學,大氣科學學系
1142,國立中央大學,太空科學與工程學系,地球與環境學群,大氣科學學類,291,1,1,2,,,,,,,,2,1,,物,51,,,,,,,國立中央大學,太空科學與工程學系
1143,國立中央大學,地球科學學系,地球與環境學群,地質地球與環境科學學類,239,,1.5,2,,,,,,,,2,1,,,,,,,,,,國立中央大學,地球科學學系
1143,國立中央大學,地球科學學系,地球與環境學群,大氣科學學類,239,,1.5,2,,,,,,,,2,1,,,,,,,,,,國立中央大學,地球科學學系
1144,國立中央大學,地球科學學院學士班,地球與環境學群,地質地球與環境科學學類,185,,,2,,,,,,,,2,1,,,,,,,,,,國立中央大學,地球科學學院學士班
1144,國立中央大學,地球科學學院學士班,地球與環境學群,大氣科學學類,185,,,2,,,,,,,,2,1,,,,,,,,,,國立中央大學,地球科學學院學士班
1145,國立中央大學,"客家語文暨社會科學學系客家語文及傳
播組",社會與心理學群,社會學學類,255,1.5,1,,,1,,,,1,1.5,,,,國,50,,,,,,,國立中央大學,客家語文暨社會科學學系
1146,國立中央大學,"客家語文暨社會科學學系客家社會及政
策組",社會與心理學群,社會學學類,261,1.5,1,,,1,,,,1,1.5,,,,國,48,,,,,,,國立中央大學,客家語文暨社會科學學系
1147,國立中央大學,生命科學系,生命科學學群,生命科學學類,235.75,1,1,1,,,,,,,,,1.25,1.5,,,,,,,,,國立中央大學,生命科學系
1150,國立中央大學,生醫科學與工程學系,生命科學學群,生醫／醫學工程學類,154.25,,1,,,,,,,,,1.25,1.25,,,,,,,,,,國立中央大學,生醫科學與工程學系
1151,中國文化大學,哲學系,文史哲學群,哲學學類,122,2,,,,,,,,,1,,,,,,,,,,,,中國文化大學,哲學系
1152,中國文化大學,中國文學系中國文學組,文史哲學群,中國語文學類,75.75,1.25,,,,,,,,1,,,,,,,,,,,,,中國文化大學,中國文學系
1153,中國文化大學,中國文學系文藝創作組,文史哲學群,中國語文學類,70,1.25,,,,,,,,1,,,,,,,,,,,,,中國文化大學,中國文學系
1154,中國文化大學,史學系,文史哲學群,歷史學類,134.5,1.5,,,,,,,,2,,,,,,,,,,,,,中國文化大學,史學系
1155,中國文化大學,日本語文學系,外語學群,日語文學類,92,2,,,,,,,1,1.5,,,,,,,,,,,,,中國文化大學,日本語文學系
1156,中國文化大學,韓國語文學系,外語學群,東方語文學類,119,2,2,,,,,,1,1,,,,,,,,,,,,,中國文化大學,韓國語文學系
1157,中國文化大學,俄國語文學系,外語學群,東方語文學類,-----,1,2,,,,,,1,1,,,,,,,,,,,,,中國文化大學,俄國語文學系
1160,中國文化大學,英國語文學系,外語學群,英語文學類,144,1,1.5,,,,,,,1,,,,,,,,,,,,,中國文化大學,英國語文學系
1161,中國文化大學,法國語文學系,外語學群,歐語文學類,147,1,1.5,,,,,,2,2,,,,,,,,,,,,,中國文化大學,法國語文學系
1162,中國文化大學,全球商務學士學位學程,財經學群,國際企業學類,-----,1,2,,,1,,,,1,,,,,,,,,,,,,中國文化大學,全球商務學士學位學程
1163,中國文化大學,應用數學系,數理化學群,數學學類,84,2,1.5,2,,,,,,,,,,,,,,,,,,,中國文化大學,應用數學系
1164,中國文化大學,光電物理學系,數理化學群,物理學類,147,1,1,,1.5,,,,,,,2,,,,,,,,,,,中國文化大學,光電物理學系
1165,中國文化大學,化學系,數理化學群,化學學類,107,1,1,,,,,,,,,1,2,,,,,,,,,,中國文化大學,化學系
1166,中國文化大學,地理學系A組,地球與環境學群,地理學類,102.5,1,1,,,,,,,,,2,,,,,,,,,,,中國文化大學,地理學系
1167,中國文化大學,地理學系B組,地球與環境學群,地理學類,167,1,1,,,,,,2,,,,,,,,,,,,,,中國文化大學,地理學系
1170,中國文化大學,大氣科學系,地球與環境學群,大氣科學學類,59.5,1,1,1.5,,,,,,,,1.5,,,,,,,,,,,中國文化大學,大氣科學系
1171,中國文化大學,地質學系,地球與環境學群,地質地球與環境科學學類,94,1,1.5,,,,,,,,,1.75,2,,,,,,,,,,中國文化大學,地質學系
1172,中國文化大學,生命科學系,生命科學學群,生命科學學類,57,1,1,,,,,,,,,,,1,,,,,,,,,中國文化大學,生命科學系
1173,中國文化大學,法律學系法學組,法政學群,法律學類,124,1.5,,,,,,,,1,1.5,,,,,,,,,,,,中國文化大學,法律學系
1174,中國文化大學,法律學系財經法律組,法政學群,法律學類,89,1.5,,,,,,,,1,1.5,,,,,,,,,,,,中國文化大學,法律學系
1175,中國文化大學,法律學系企業金融法制組,法政學群,法律學類,105.5,1.5,,,,,,,,1,1.5,,,,,,,,,,,,中國文化大學,法律學系
1176,中國文化大學,政治學系,法政學群,政治學類,65,1,1,,,,,,,,1.5,,,,,,,,,,,,中國文化大學,政治學系
1177,中國文化大學,經濟學系,財經學群,經濟學類,102,1.75,2,,,2,,,,,1,,,,,,,,,,,,中國文化大學,經濟學系
1200,中國文化大學,勞動暨人力資源學系,社會與心理學群,勞工關係學類,107.5,1.75,1,,,,,,,,2,,,,,,,,,,,,中國文化大學,勞動暨人力資源學系(原勞工關係學系)
1201,中國文化大學,社會福利學系,社會與心理學群,社會學學類,122.75,1.5,1,,,,,,,1,1,,,,,,,,,,,,中國文化大學,社會福利學系
1202,中國文化大學,行政管理學系,法政學群,行政管理學類,133,1.5,,,,,,,,,2,,,,,,,,,,,,中國文化大學,行政管理學系
1202,中國文化大學,行政管理學系,管理學群,行政管理學類,133,1.5,,,,,,,,,2,,,,,,,,,,,,中國文化大學,行政管理學系
1203,中國文化大學,園藝暨生物技術學系,生物資源學群,園藝學類,138,2,1,,,,,,,,,,1,2,,,,,,,,,中國文化大學,園藝暨生物技術學系
1204,中國文化大學,動物科學系,生物資源學群,動物科學學類,64,1.25,,,,,,,,,,,,1,,,,,,,,,中國文化大學,動物科學系
1205,中國文化大學,森林暨自然保育學系(A組),生物資源學群,森林學類,160,2,1,,,,,,,,2,,,,,,,,,,,,中國文化大學,森林暨自然保育學系
1206,中國文化大學,森林暨自然保育學系(B組),生物資源學群,森林學類,-----,2,1,,,,,,,,,,,2,,,,,,,,,中國文化大學,森林暨自然保育學系
1207,中國文化大學,土地資源學系科技應用組,法政學群,地政與土地資產管理學類,70,1.25,,,,1,,,,,,,2,,,,,,,,,,中國文化大學,土地資源學系
1207,中國文化大學,土地資源學系科技應用組,管理學群,地政與土地資產管理學類,70,1.25,,,,1,,,,,,,2,,,,,,,,,,中國文化大學,土地資源學系
1210,中國文化大學,土地資源學系土地管理組,法政學群,地政與土地資產管理學類,99.75,1.25,,,,1,,,2,,,,,,,,,,,,,,中國文化大學,土地資源學系
1210,中國文化大學,土地資源學系土地管理組,管理學群,地政與土地資產管理學類,99.75,1.25,,,,1,,,2,,,,,,,,,,,,,,中國文化大學,土地資源學系
1211,中國文化大學,生活應用科學系,社會與心理學群,兒童與家庭學類,124,2,,,,,,,,1.75,2,,,,,,,,,,,,中國文化大學,生活應用科學系
1212,中國文化大學,保健營養學系,醫藥衛生學群,食品營養保健學類,81,2,1,,,,,,,,,,2,,,,,,,,,,中國文化大學,保健營養學系
1213,中國文化大學,化學工程與材料工程學系(程序工程組),工程學群,化學工程學類,63,1,,1,,,,,,,,,2,,化,13,,,,,,,中國文化大學,化學工程與材料工程學系
1214,中國文化大學,化學工程與材料工程學系(材料工程組),工程學群,化學工程學類,66,1,,1,,,,,,,,2,,,物,14,,,,,,,中國文化大學,化學工程與材料工程學系
1215,中國文化大學,化學工程與材料工程學系(生化工程組),工程學群,化學工程學類,92,1,,1,,,,,,,,,,2,,,,,,,,,中國文化大學,化學工程與材料工程學系
1216,中國文化大學,電機工程學系A組,工程學群,電機工程學類,169,2,2,,2,,,,,,,1,,,國,34,,,,,,,中國文化大學,電機工程學系
1216,中國文化大學,電機工程學系A組,工程學群,電子工程學類,169,2,2,,2,,,,,,,1,,,國,34,,,,,,,中國文化大學,電機工程學系
1216,中國文化大學,電機工程學系A組,工程學群,機械工程學類,169,2,2,,2,,,,,,,1,,,國,34,,,,,,,中國文化大學,電機工程學系
1217,中國文化大學,電機工程學系B組,工程學群,電機工程學類,174,2,2,,1,,,,,,,2,1,,,,,,,,,,中國文化大學,電機工程學系
1217,中國文化大學,電機工程學系B組,工程學群,電子工程學類,174,2,2,,1,,,,,,,2,1,,,,,,,,,,中國文化大學,電機工程學系
1217,中國文化大學,電機工程學系B組,工程學群,機械工程學類,174,2,2,,1,,,,,,,2,1,,,,,,,,,,中國文化大學,電機工程學系
1220,中國文化大學,機械工程學系,工程學群,機械工程學類,62,1,,,2,,,,,,,2,,,,,,,,,,,中國文化大學,機械工程學系
1221,中國文化大學,紡織工程學系,工程學群,化學工程學類,72,1,,2,,,,,,,,,,,,,,,,,,,中國文化大學,紡織工程學系
1222,中國文化大學,資訊工程學系A組,資訊學群,資訊工程學類,154,2,1,,2,,,,,,,2,,,數A,26,,,,,,,中國文化大學,資訊工程學系
1222,中國文化大學,資訊工程學系A組,工程學群,電機工程學類,154,2,1,,2,,,,,,,2,,,數A,26,,,,,,,中國文化大學,資訊工程學系
1222,中國文化大學,資訊工程學系A組,工程學群,電子工程學類,154,2,1,,2,,,,,,,2,,,數A,26,,,,,,,中國文化大學,資訊工程學系
1223,中國文化大學,資訊工程學系B組,資訊學群,資訊工程學類,115,2,1,,,2,,,,2,,,,,,,,,,,,,中國文化大學,資訊工程學系
1223,中國文化大學,資訊工程學系B組,工程學群,電機工程學類,115,2,1,,,2,,,,2,,,,,,,,,,,,,中國文化大學,資訊工程學系
1223,中國文化大學,資訊工程學系B組,工程學群,電子工程學類,115,2,1,,,2,,,,2,,,,,,,,,,,,,中國文化大學,資訊工程學系
1224,中國文化大學,國際貿易學系,財經學群,國際企業學類,59.75,1,1,,,,,,,,1.25,,,,,,,,,,,,中國文化大學,國際貿易學系
1225,中國文化大學,國際企業管理學系,財經學群,國際企業學類,136,2,1,,,,,,,1,2,,,,,,,,,,,,中國文化大學,國際企業管理學系
1226,中國文化大學,會計學系,財經學群,會計學類,99,2,2,,,1,,,,,1,,,,,,,,,,,,中國文化大學,會計學系
1227,中國文化大學,觀光事業學系,管理學群,觀光事業學類,94.25,1.75,1.75,,,,,,1.5,,,,,,,,,,,,,,中國文化大學,觀光事業學系
1227,中國文化大學,觀光事業學系,遊憩與運動學群,觀光事業學類,94.25,1.75,1.75,,,,,,1.5,,,,,,,,,,,,,,中國文化大學,觀光事業學系
1230,中國文化大學,資訊管理學系(智慧商務科技組),資訊學群,資訊管理學類,74,1,1,,,,,,,,2,,,,,,,,,,,,中國文化大學,資訊管理學系
1230,中國文化大學,資訊管理學系(智慧商務科技組),管理學群,資訊管理學類,74,1,1,,,,,,,,2,,,,,,,,,,,,中國文化大學,資訊管理學系
1231,中國文化大學,資訊管理學系(雲端服務暨巨量資料組),資訊學群,資訊管理學類,55,,1,,,1,,,,2,,,,,,,,,,,,,中國文化大學,資訊管理學系
1231,中國文化大學,資訊管理學系(雲端服務暨巨量資料組),管理學群,資訊管理學類,55,,1,,,1,,,,2,,,,,,,,,,,,,中國文化大學,資訊管理學系
1232,中國文化大學,財務金融學系金融行銷組,財經學群,財務金融學類,140.75,1.75,,,,,,,,2,2,,,,,,,,,,,,中國文化大學,財務金融學系
1233,中國文化大學,財務金融學系財務金融組,財經學群,財務金融學類,153.25,,,,,,,,2,1.75,2,,,,,,,,,,,,中國文化大學,財務金融學系
1234,中國文化大學,財務金融學系數位金融組,財經學群,財務金融學類,147.5,1.75,,,,,,,2,,2,,,,,,,,,,,,中國文化大學,財務金融學系
1235,中國文化大學,行銷學士學位學程,管理學群,行銷經營學類,131,1,1,,,,,,,2,2,,,,,,,,,,,,中國文化大學,行銷學士學位學程
1236,中國文化大學,新聞學系,大眾傳播學群,新聞學類,110.75,2,2,,,,,,,,1.75,,,,,,,,,,,,中國文化大學,新聞學系
1237,中國文化大學,廣告學系A組,大眾傳播學群,廣告學類,121,2,2,,,,,,,,1,,,,,,,,,,,,中國文化大學,廣告學系
1240,中國文化大學,廣告學系B組,大眾傳播學群,廣告學類,102.2,1,1,,,,,,,1,,,,,,,,,,,,,中國文化大學,廣告學系
